transaction_id,product_id,warehouse_id,supplier_id,sale_date,quantity_sold,unit_price_sold,total_amount,customer_type
1,18,6,12,2023-07-01,40,192.38,7695.08,Government
2,24,8,15,2023-07-01,40,239.29,9571.66,Government
3,7,1,1,2023-07-01,49,63.18,3095.85,Retailer
4,3,7,1,2023-07-01,28,313.71,8783.92,Government
5,15,7,14,2023-07-01,16,1442.88,23086.09,Government
6,26,1,9,2023-07-01,23,537.15,12354.35,Government
7,5,7,8,2023-07-01,11,91.49,1006.36,Cooperative
8,17,3,6,2023-07-01,4,444.47,1777.89,Government
9,1,1,8,2023-07-01,43,91.83,3948.88,Farmer
10,24,2,3,2023-07-01,29,252.66,7327.02,Farmer
11,4,8,8,2023-07-01,45,78.65,3539.07,Government
12,26,1,11,2023-07-02,21,543.28,11408.9,Cooperative
13,33,7,13,2023-07-02,3,11865.23,35595.7,Retailer
14,29,9,11,2023-07-02,4,457.48,1829.94,Retailer
15,26,5,15,2023-07-02,36,554.98,19979.43,Farmer
16,32,6,13,2023-07-02,5,28023.39,140116.97,Government
17,9,4,8,2023-07-02,10,57.39,573.85,Farmer
18,34,8,10,2023-07-02,4,192.84,771.34,Farmer
19,34,2,7,2023-07-02,4,197.63,790.53,Farmer
20,13,2,2,2023-07-02,39,272.73,10636.66,Retailer
21,29,3,9,2023-07-02,31,465.91,14443.13,Retailer
22,35,4,10,2023-07-02,5,916.91,4584.53,Farmer
23,18,4,12,2023-07-02,35,198.78,6957.26,Retailer
24,35,6,7,2023-07-02,4,913.38,3653.51,Cooperative
25,15,5,5,2023-07-03,23,1571.12,36135.71,Farmer
26,24,2,11,2023-07-03,49,267.43,13103.95,Wholesaler
27,13,3,14,2023-07-03,22,292.49,6434.76,Wholesaler
28,31,8,7,2023-07-03,1,4558.41,4558.41,Wholesaler
29,4,3,1,2023-07-03,41,76.32,3129.24,Retailer
30,33,2,13,2023-07-03,4,12541.23,50164.93,Farmer
31,18,1,14,2023-07-03,18,194.91,3508.35,Cooperative
32,13,8,5,2023-07-03,30,267.23,8016.78,Cooperative
33,13,5,6,2023-07-04,24,254.05,6097.11,Farmer
34,27,7,6,2023-07-04,30,840.25,25207.4,Farmer
35,22,8,9,2023-07-04,11,422.6,4648.55,Retailer
36,21,1,3,2023-07-04,21,307.6,6459.62,Farmer
37,7,2,1,2023-07-04,37,66.61,2464.46,Cooperative
38,23,7,11,2023-07-04,15,654.21,9813.18,Farmer
39,23,10,3,2023-07-04,41,617.35,25311.47,Farmer
40,20,5,11,2023-07-04,42,411.76,17293.99,Farmer
41,14,1,2,2023-07-04,11,1447.82,15926.01,Farmer
42,23,10,9,2023-07-04,9,623.07,5607.59,Government
43,15,5,6,2023-07-04,40,1477.63,59105.08,Farmer
44,33,7,10,2023-07-04,5,12161.2,60806.0,Retailer
45,22,2,9,2023-07-05,1,456.43,456.43,Cooperative
46,26,2,3,2023-07-05,39,494.97,19303.89,Wholesaler
47,12,8,8,2023-07-05,26,114.36,2973.31,Farmer
48,5,7,1,2023-07-05,45,102.11,4594.88,Farmer
49,7,1,8,2023-07-05,40,71.37,2854.7,Cooperative
50,34,2,10,2023-07-05,4,184.95,739.79,Government
51,23,5,15,2023-07-05,45,675.67,30405.07,Farmer
52,2,10,1,2023-07-05,20,93.17,1863.35,Government
53,19,5,5,2023-07-05,9,328.89,2960.04,Retailer
54,30,2,7,2023-07-05,2,1245.21,2490.43,Farmer
55,23,10,15,2023-07-05,6,637.32,3823.93,Farmer
56,7,5,8,2023-07-05,5,65.54,327.7,Retailer
57,24,3,11,2023-07-05,14,238.65,3341.17,Cooperative
58,26,5,11,2023-07-05,49,528.66,25904.26,Government
59,18,7,12,2023-07-05,16,179.55,2872.77,Government
60,15,5,5,2023-07-05,7,1471.2,10298.4,Farmer
61,18,2,6,2023-07-05,11,187.44,2061.88,Farmer
62,16,10,5,2023-07-06,41,958.95,39317.13,Farmer
63,7,10,1,2023-07-06,44,61.83,2720.64,Farmer
64,30,8,10,2023-07-06,4,1257.49,5029.95,Retailer
65,31,8,13,2023-07-06,1,4683.7,4683.7,Farmer
66,30,6,7,2023-07-06,1,1241.71,1241.71,Retailer
67,25,2,15,2023-07-06,24,203.21,4876.92,Cooperative
68,16,3,14,2023-07-06,36,960.71,34585.73,Farmer
69,19,7,6,2023-07-06,41,309.63,12694.83,Retailer
70,13,1,12,2023-07-06,30,269.03,8070.78,Government
71,15,2,5,2023-07-06,28,1524.75,42693.13,Retailer
72,32,2,10,2023-07-06,2,28107.53,56215.06,Cooperative
73,1,2,8,2023-07-07,37,84.38,3121.89,Farmer
74,18,5,6,2023-07-07,22,185.2,4074.43,Cooperative
75,19,10,6,2023-07-07,1,319.69,319.69,Farmer
76,24,3,3,2023-07-07,14,258.11,3613.52,Farmer
77,26,7,3,2023-07-07,4,494.05,1976.2,Retailer
78,13,7,12,2023-07-07,11,279.91,3079.06,Retailer
79,31,4,7,2023-07-07,1,4849.48,4849.48,Cooperative
80,16,2,2,2023-07-07,19,870.02,16530.4,Government
81,35,2,7,2023-07-07,3,848.02,2544.05,Retailer
82,21,5,9,2023-07-07,9,279.06,2511.58,Farmer
83,3,2,1,2023-07-07,19,323.86,6153.39,Cooperative
84,4,2,8,2023-07-07,45,75.13,3380.81,Farmer
85,30,2,10,2023-07-08,1,1319.44,1319.44,Farmer
86,27,7,6,2023-07-08,10,851.15,8511.46,Government
87,35,6,13,2023-07-08,3,883.64,2650.93,Farmer
88,16,6,6,2023-07-08,10,958.45,9584.53,Retailer
89,19,9,5,2023-07-08,3,348.26,1044.78,Government
90,35,2,13,2023-07-08,5,848.54,4242.69,Retailer
